GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PayMyBuddy,com.projet6.PayMyBuddy.Controller,SignupController,2,29,0,0,1,8,1,2,1,2
PayMyBuddy,com.projet6.PayMyBuddy.Controller,ProfileController,0,24,0,0,0,5,0,3,0,3
PayMyBuddy,com.projet6.PayMyBuddy.Controller,UserController,92,0,4,0,22,0,10,0,8,0
PayMyBuddy,com.projet6.PayMyBuddy.Controller,AddFriendController,0,22,0,0,0,4,0,3,0,3
PayMyBuddy,com.projet6.PayMyBuddy.Controller,ConnectionController,0,41,0,0,0,10,0,5,0,5
PayMyBuddy,com.projet6.PayMyBuddy.Controller,LoginController,29,5,4,0,6,2,3,2,1,2
PayMyBuddy,com.projet6.PayMyBuddy.Controller,TransferController,54,0,0,0,9,0,3,0,3,0
PayMyBuddy,com.projet6.PayMyBuddy.Controller,TransactionController,55,30,4,0,14,7,4,4,2,4
PayMyBuddy,com.projet6.PayMyBuddy,PayMyBuddyApplication,5,3,0,0,2,1,1,1,1,1
PayMyBuddy,com.projet6.PayMyBuddy.Model,Connection,3,14,0,0,1,6,1,4,1,4
PayMyBuddy,com.projet6.PayMyBuddy.Model,User,28,41,0,0,12,18,8,11,8,11
PayMyBuddy,com.projet6.PayMyBuddy.Model,UserConnectionId,55,0,8,0,10,0,8,0,4,0
PayMyBuddy,com.projet6.PayMyBuddy.Model,Transaction,19,19,0,0,7,9,6,5,6,5
PayMyBuddy,com.projet6.PayMyBuddy.Config,SecurityConfig,0,62,0,0,0,14,0,6,0,6
PayMyBuddy,com.projet6.PayMyBuddy.Services,TransactionService,25,57,0,2,6,13,5,3,5,2
PayMyBuddy,com.projet6.PayMyBuddy.Services,MyUserDetailsService,0,29,0,0,0,7,0,4,0,4
PayMyBuddy,com.projet6.PayMyBuddy.Services,UserService,10,28,0,0,2,7,2,6,2,6
PayMyBuddy,com.projet6.PayMyBuddy.Services,ConnectionService,57,98,6,6,13,23,6,9,2,7
